top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
    338 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    339 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    340 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    341 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    342 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    343 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    344 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    345 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    346 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    347 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    348 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    349 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    350 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    351 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    352 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    353 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    354 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    355 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    356 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    357 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    358 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    359 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    360 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    361 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    362 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    363 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    364 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    365 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    366 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    367 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    368 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    372 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    387 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    394 root      20   0       0      0      0 S   0,0   0,0   0:00.33 jbd2/nv+
    395 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    414 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/62-+
    415 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/63-+
    416 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/64-+
    453 root      19  -1   68636  22376  18908 S   0,0   0,2   0:00.32 systemd+
    489 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    496 systemd+  20   0   17208   7024   6004 S   0,0   0,1   0:00.96 systemd+
    497 systemd+  20   0   22896  15240  11612 S   0,0   0,1   0:00.79 systemd+
    502 root      20   0   42560  14440   8036 S   0,0   0,1   0:00.30 systemd+
    504 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    554 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/65-+
    555 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/66-+
    556 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/67-+
    557 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/68-+
    558 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/69-+
    559 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/70-+
    560 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    776 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   1251 avahi     20   0    7204   3880   3452 S   0,0   0,0   0:00.06 avahi-d+
   1252 root      20   0    4096   1660   1544 S   0,0   0,0   0:00.00 chronyd+
   1253 message+  20   0   12340   9320   4076 S   0,0   0,1   0:00.58 dbus-da+
   1259 root      20   0   49880  29236  12036 S   0,0   0,3   0:00.05 network+
   1260 polkitd   20   0  407200  27488  11460 S   0,0   0,2   0:00.21 polkitd
   1352 polkitd   20   0  407200  27488  11460 S   0,0   0,2   0:00.05 gmain
   1353 polkitd   20   0  407200  27488  11460 S   0,0   0,2   0:00.00 pool-sp+
