top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
  12964 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 Worker +
  12965 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.32 Timer
  12966 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 ImageBr+
  12967 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 Process+
  12968 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 Profile+
  12969 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.03 TaskCon+
  12970 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.02 TaskCon+
  12971 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.01 TaskCon+
  12972 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.01 TaskCon+
  12973 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.01 TaskCon+
  13247 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 RemoteL+
  19341 bruno     20   0 6854064 128184  95624 S   0,0   1,1   0:00.00 StreamT+
  13108 bruno     20   0  599500  50200  36748 S   0,0   0,4   0:00.02 Utility+
  13111 bruno     20   0  599500  50200  36748 S   0,0   0,4   0:00.00 AsyncSi+
  13112 bruno     20   0  599500  50200  36748 S   0,0   0,4   0:00.00 IPC I/O+
  13114 bruno     20   0  599500  50200  36748 S   0,0   0,4   0:00.00 Profile+
  13350 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 AsyncSi+
  13352 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.10 Socket +
  13353 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 HTML5 P+
  13354 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.05 StyleTh+
  13355 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.05 StyleTh+
  13356 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.05 JS Watc+
  13358 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.01 RemVidC+
  13359 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 ImageIO
  13360 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.91 Timer
  13361 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 ImageBr+
  13362 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 Process+
  13363 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 Profile+
  13364 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:02.01 TaskCon+
  13365 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.84 TaskCon+
  13366 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.48 TaskCon+
  13367 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.42 TaskCon+
  13368 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.31 TaskCon+
  14101 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 Worker +
  14115 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 RemoteL+
  14120 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 MediaCa+
  17393 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.04 DOM Wor+
  17398 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.01 DOM Wor+
  18293 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 AudioIP+
  18295 bruno    -11   0 3050188 399672 146820 S   0,0   3,4   0:00.00 AudioIP+
  19255 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 StreamT+
  19256 bruno     20   0 3050188 399672 146820 S   0,0   3,4   0:00.00 StreamT+
  13426 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:13.71 Isolate+
  13430 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 AsyncSi+
  13431 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:01.29 IPC I/O+
  13432 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.02 Socket +
  13433 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 HTML5 P+
  13434 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.53 StyleTh+
  13435 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.55 StyleTh+
  13436 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.02 JS Watc+
  13438 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 RemVidC+
  13439 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 ImageIO
  13440 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.35 Timer
  13441 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 ImageBr+
  13442 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 Process+
  13443 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 Profile+
  13444 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.18 TaskCon+
  13445 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.05 TaskCon+
  13446 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 TaskCon+
  13447 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 TaskCon+
  13448 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 TaskCon+
  16420 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 Worker +
  16423 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 RemoteL+
  18907 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.05 DOM Wor+
  18917 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.02 DOM Wor+
  18959 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 Backgro+
  19312 bruno     20   0 2824024 223956 119540 S   0,0   1,9   0:00.00 StreamT+
  13653 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.00 contain+
  13655 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.05 contain+
  13656 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.00 contain+
  13657 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.00 contain+
  13658 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.05 contain+
  13659 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.00 contain+
  13660 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.07 contain+
  13661 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.07 contain+
  13662 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.06 contain+
  13663 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.03 contain+
  14571 root      20   0 1267808  11440   6968 S   0,0   0,1   0:00.04 contain+
  13677 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:21.99 python3
  13743 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13744 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13745 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13746 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13748 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13749 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13750 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13751 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.08 python3
  13762 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 tokio-r+
  13763 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 tokio-r+
  13764 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 tokio-r+
  13765 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 tokio-r+
  13766 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 tokio-r+
  13772 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.14 python3
  13773 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.03 python3
  13782 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.01 tracing+
  13786 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.56 hf-xet-0
  13787 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.52 hf-xet-1
  13788 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.50 hf-xet-2
  13789 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.50 hf-xet-3
  13790 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.41 hf-xet-4
  13991 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.03 python3
  13992 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.14 python3
  13993 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.15 python3
  13994 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.20 python3
  13995 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.14 python3
  13996 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.14 python3
  13997 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  13998 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  13999 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  14000 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  14229 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.13 python3
  14232 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  16776 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.06 python3
  16777 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.07 python3
  16778 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.06 python3
  19306 root      20   0 4995440   1,1g 188976 S   0,0  10,0   0:00.00 python3
  13716 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.00 docker-+
  13717 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.06 docker-+
  13718 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.05 docker-+
  13719 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.08 docker-+
  13720 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.00 docker-+
  13721 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.00 docker-+
  14099 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.05 docker-+
  14104 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.00 docker-+
  14105 root      20   0 1822460  21792   3488 S   0,0   0,2   0:00.07 docker-+
  13722 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  13723 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  13724 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  13725 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  13726 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  13727 root      20   0 1600336  14796   3412 S   0,0   0,1   0:00.00 docker-+
  15320 root      20   0       0      0      0 I   0,0   0,0   0:00.12 kworker+
  16056 root      20   0       0      0      0 I   0,0   0,0   0:08.13 kworker+
  16192 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
  16200 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.00 ollama
  16203 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.03 ollama
  16204 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.05 ollama
  16205 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.06 ollama
  16206 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.00 ollama
  16207 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.08 ollama
  16208 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.07 ollama
  16209 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.10 ollama
  16210 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.00 ollama
  16211 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.15 ollama
  16212 ollama    20   0 2109864  63852  25076 S   0,0   0,5   0:00.21 ollama
  16992 root      20   0       0      0      0 I   0,0   0,0   0:00.09 kworker+
  17637 root      20   0       0      0      0 I   0,0   0,0   0:00.07 kworker+
  17747 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.01 Web Con+
  17752 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 AsyncSi+
  17753 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 IPC I/O+
  17760 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 Socket +
  17762 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 HTML5 P+
  17763 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 StyleTh+
  17764 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 StyleTh+
  17765 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 JS Watc+
  17771 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 RemVidC+
  17774 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 ImageIO
  17777 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 Timer
  17779 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 ImageBr+
  17782 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 Process+
  17783 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 Profile+
  17789 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 TaskCon+
  17790 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 TaskCon+
  17791 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 TaskCon+
  17792 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 TaskCon+
  17793 bruno     20   0 2589392  78448  62644 S   0,0   0,7   0:00.00 TaskCon+
  17754 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.01 Web Con+
  17758 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 AsyncSi+
  17759 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 IPC I/O+
  17761 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 Socket +
  17766 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 HTML5 P+
  17767 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 StyleTh+
  17768 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 StyleTh+
  17770 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 JS Watc+
  17773 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 RemVidC+
  17775 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 ImageIO
  17776 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 Timer
  17778 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 ImageBr+
  17780 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 Process+
  17781 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 Profile+
  17784 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 TaskCon+
  17785 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 TaskCon+
  17786 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 TaskCon+
  17787 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 TaskCon+
  17788 bruno     20   0 2589392  78528  62652 S   0,0   0,7   0:00.00 TaskCon+
  17853 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.03 Web Con+
  17857 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 AsyncSi+
  17858 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 IPC I/O+
  17859 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 Socket +
  17860 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 HTML5 P+
  17861 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 StyleTh+
  17862 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 StyleTh+
  17863 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 JS Watc+
  17865 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 RemVidC+
  17866 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 ImageIO
  17867 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 Timer
  17868 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 ImageBr+
  17869 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 Process+
  17870 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 Profile+
  17871 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 TaskCon+
  17872 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 TaskCon+
  17873 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 TaskCon+
  17874 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 TaskCon+
  17875 bruno     20   0 2589392  78700  62908 S   0,0   0,7   0:00.00 TaskCon+
  17887 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
  18237 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.00 llama-s+
  18238 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.00 llama-s+
  18239 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.00 llama-s+
  18240 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.02 llama-s+
  18241 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.07 llama-s+
  18242 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.20 llama-s+
  18243 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.01 llama-s+
  18244 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.04 llama-s+
  18249 ollama    20   0 2145248   1,5g  14748 S   0,0  13,1   0:00.02 llama-s+
  18282 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
  18283 root      20   0       0      0      0 R   0,0   0,0   0:02.25 kworker+
  18663 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  18670 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:02.71 ptyxis
  18686 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 pool-sp+
  18687 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 gmain
  18688 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.04 gdbus
  18690 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 [pango]+
  18692 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 dconf w+
  18707 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.71 ptyxis
  18708 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.38 llvmpip+
  18709 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.37 llvmpip+
  18710 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.40 llvmpip+
  18711 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.47 llvmpip+
  18712 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.36 llvmpip+
  18713 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18714 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18715 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18716 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18717 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18718 bruno     39  19 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis:+
  18719 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 llvmpip+
  18720 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 llvmpip+
  18721 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 llvmpip+
  18722 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 llvmpip+
  18723 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 llvmpip+
  18724 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18725 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18726 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18727 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18728 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis
  18729 bruno     39  19 3383316 529440 123340 S   0,0   4,5   0:00.00 ptyxis:+
  19318 bruno     20   0 3383316 529440 123340 S   0,0   4,5   0:00.00 pool-17
  18684 bruno     20   0       0      0      0 Z   0,0   0,0   0:00.00 xdg-ter+
  18694 bruno     20   0  263684  19796  11716 S   0,0   0,2   0:00.04 ptyxis-+
  18696 bruno     20   0  263684  19796  11716 S   0,0   0,2   0:00.00 pool-sp+
  18697 bruno     20   0  263684  19796  11716 S   0,0   0,2   0:00.00 gmain
  18698 bruno     20   0  263684  19796  11716 S   0,0   0,2   0:00.03 gdbus
  18764 bruno     20   0  263684  19796  11716 S   0,0   0,2   0:00.00 dconf w+
  18767 bruno     20   0    9808   6584   3856 S   0,0   0,1   0:00.02 bash
  18801 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  18818 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  19129 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  19195 root      20   0       0      0      0 I   0,0   0,0   0:00.67 kworker+
